"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"spark","1","0","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""spark"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""spark"");","","Mods/SunExp/ModResource/Images/Card/SunExp/spark","","Attack","SunExp_sunexp_cardpack_radiant_spark"
"scorching_canopy_card","1","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""scorching_canopy_card"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""scorching_canopy_card"");","","Mods/SunExp/ModResource/Images/Card/SunExp/scorching_canopy_card","","","SunExp_sunexp_cardpack_solar_canopy"
"radiant_flame_slash","1","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""radiant_flame_slash"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""radiant_flame_slash"");","","Mods/SunExp/ModResource/Images/Card/SunExp/radiant_flame_slash","","Attack","SunExp_sunexp_cardpack_radiant_spark"
"ember_cloak_card","1","0","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""ember_cloak_card"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""ember_cloak_card"");","","Mods/SunExp/ModResource/Images/Card/SunExp/ember_cloak_card","","","SunExp_sunexp_cardpack_radiant_spark"
"draw_flame","1","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""draw_flame"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""draw_flame"");","","Mods/SunExp/ModResource/Images/Card/SunExp/draw_flame","","Attack","SunExp_sunexp_cardpack_ember_crown"
"solar_prayer","2","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_prayer"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_prayer"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_prayer","","","SunExp_sunexp_cardpack_radiant_spark"
"burning_star_hex","2","1","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""burning_star_hex"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""burning_star_hex"");","","Mods/SunExp/ModResource/Images/Card/SunExp/burning_star_hex","","Attack","SunExp_sunexp_cardpack_ember_crown"
"crown_radiance","3","2","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""crown_radiance"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""crown_radiance"");","","Mods/SunExp/ModResource/Images/Card/SunExp/crown_radiance","","Skill","SunExp_sunexp_cardpack_solar_canopy"
"*canopy_return","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*canopy_return"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*canopy_return"");","","Mods/SunExp/ModResource/Images/Card/SunExp/canopy_return","","Skill","SunExp_sunexp_cardpack_solar_canopy"
"*solar_phase_tuning","2","1","","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""*solar_phase_tuning"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""*solar_phase_tuning"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_phase_tuning","","","SunExp_sunexp_cardpack_radiant_spark"
"solar_coronation","3","2","白曜","CS.SunExp.Dll.Scripting.CardScripts.Init(self, ""solar_coronation"");","","CS.SunExp.Dll.Scripting.CardScripts.Use(self, ""solar_coronation"");","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_coronation","","","SunExp_sunexp_cardpack_radiant_spark"
